NumTrajs,Time,AverageDiscountedReturn,Iteration,PolicyExecTime,StdReturn,MeanKLBefore,Perplexity,AverageReturn,LossAfter,MinReturn,dLoss,ItrTime,Entropy,ProcessExecTime,MeanKL,ExplainedVariance,EnvExecTime,LossBefore,MaxReturn
10,2.4709250926971436,-99.3429516958,0,1.1305139064788818,0.0,-1.49721568476e-10,2.95479,-500.0,-0.00553690036759,-500.0,0.00553684619889,2.470928907394409,1.08343,0.05397295951843262,0.00535511225462,1.67202918178e-11,0.7904562950134277,-5.41687015243e-08,-500.0
11,5.214696168899536,-99.2878899477,1,1.3068816661834717,18.6861861737,5.86063808594e-10,2.89946,-494.090909091,-0.0158114414662,-500.0,0.0158114333523,2.739871025085449,1.06452,0.06216883659362793,0.00822700466961,0.964876174442,0.9111583232879639,-8.11395128864e-09,-435.0
11,7.9662909507751465,-99.2782790552,2,1.3015964031219482,20.986024472,1.73011674431e-10,2.92393,-493.363636364,-0.00821304693818,-500.0,0.00821307048136,2.7469849586486816,1.07293,0.06224775314331055,0.00730369472876,0.967722866433,0.9051952362060547,2.35431762974e-08,-427.0
11,10.692049026489258,-99.2807547008,3,1.3003807067871094,20.4110648975,1.51790094383e-10,2.88508,-493.545454545,-0.0121090263128,-500.0,0.0121090225368,2.721177816390991,1.05955,0.061873435974121094,0.00942730531096,0.972384067465,0.9048938751220703,-3.77605857693e-09,-429.0
10,13.182234048843384,-99.3429516958,4,1.1368401050567627,0.0,-5.05711417187e-10,2.90047,-500.0,-0.0067411577329,-500.0,0.0067411577329,2.486786127090454,1.06487,0.058007001876831055,0.00676951603964,0.993008856407,0.7954246997833252,-0.0,-500.0
10,15.839565992355347,-99.3429516958,5,1.2428462505340576,0.0,6.99223734468e-10,2.84087,-500.0,-0.009600950405,-500.0,0.00960094701946,2.6528098583221436,1.04411,0.06263041496276855,0.00946222804487,0.99649974312,0.8710131645202637,-3.38554384527e-09,-500.0
11,18.761372089385986,-99.2160239306,6,1.400233268737793,26.0079453848,5.50410106381e-10,2.77228,-486.363636364,-0.00871843099594,-500.0,0.00871841078626,2.9167990684509277,1.01967,0.06742620468139648,0.00868951156735,0.932342517872,0.9755563735961914,-2.02096828161e-08,-419.0
10,21.322704076766968,-99.3429516958,7,1.184345006942749,0.0,1.45643531957e-11,2.75178,-500.0,-0.00843763537705,-500.0,0.00843761506379,2.5575129985809326,1.01225,0.06100654602050781,0.00675458926708,0.944980222157,0.8262062072753906,-2.03132621834e-08,-500.0
11,24.05719494819641,-98.86303125,8,1.3025565147399902,58.2273969199,-3.46445615251e-11,2.82394,-467.545454545,-0.0159519016743,-500.0,0.0159519394802,2.7287800312042236,1.03813,0.06588435173034668,0.00751289073378,0.799294942456,0.91713547706604,3.7805978792e-08,-323.0
14,26.90557599067688,-97.1367092818,9,1.3592712879180908,79.1611956577,-1.57040735971e-09,2.73716,-383.071428571,-0.00880820862949,-500.0,0.00880825952908,2.844496965408325,1.00692,0.06589007377624512,0.00758613971993,0.732361988968,0.9558546543121338,5.08995938731e-08,-275.0
10,29.32813310623169,-99.3429516958,10,1.1278297901153564,0.0,7.44937223018e-10,2.80999,-500.0,-0.0128594059497,-500.0,0.0128593913585,2.4188008308410645,1.03318,0.05420708656311035,0.00668331747875,0.754383077798,0.7852869033813477,-1.45912171234e-08,-500.0
10,31.777209997177124,-99.3429516958,11,1.1241905689239502,0.0,-6.6528826892e-10,2.726,-500.0,-0.00853771995753,-500.0,0.00853772863597,2.444441080093384,1.00284,0.05348348617553711,0.00935500022024,0.996671532766,0.7947838306427002,8.67843663599e-09,-500.0
10,34.21600914001465,-99.3429516958,12,1.127220630645752,0.0,1.98905281135e-10,2.78163,-500.0,-0.0105784274638,-500.0,0.0105784223139,2.434810161590576,1.02304,0.05419731140136719,0.00972978956997,0.996738277403,0.7868578433990479,-5.14984144218e-09,-500.0
